"","label","X","Y","lat","lon","popularity","jobs60","population60","population30","population10","jobs10","jobs30","bike30","lpopularity","lmpreds","rfpreds"
"1","1900 Broadway",1847390.99999814,610905.999898845,37.486648375551,-122.225743949143,35.083369039,4.8622,103.5664,3.5622,0.3904,1.2317,2.8876,9,3.55772720163258,1.90917696924362,2.53528857063716
"2","2nd at Howard",1832826.99999794,644524.999898568,37.7869738608844,-122.398104248519,41.0301477761,46.0211,188.6214,11.1258,0.5655,8.7126,30.6677,35,3.71430710810737,4.22793654238708,3.83126145200305
"3","2nd at South Park",1833288.99999795,643991.999898569,37.7822566802806,-122.392737693427,58.7588998386,44.6937,164.9283,5.6262,0.9214,2.2524,27.9134,35,4.0734426281658,4.15315511097394,3.8216260244776
"4","2nd at Townsend",1833500.99999795,643795.999898573,37.7805296338602,-122.390286485202,116.4675959268,44.0039,172.8773,3.9688,0.758,1.9399,25.4647,35,4.75761308776476,4.11429400551304,3.57658245940119
"5","330 Townsend",1832955.99999795,643345.999898578,37.7763765012315,-122.396368744928,75.7262541821,45.9482,166.7741,6.9518,0.6857,1.4295,21.8063,35,4.32712491910167,4.22382959169399,3.73506872180231
"6","5th at Howard",1832196.99999794,643957.999898571,37.7817507609488,-122.405124342025,38.7131357516,47.2612,181.6597,13.1522,1.3368,2.9686,36.4234,35,3.65617896755001,4.29779977358751,3.97372133264462
"7","Beale at Market",1832928.99999795,645121.999898562,37.7923705105719,-122.397083832378,44.4826926057,45.5548,212.7356,11.4921,0.4548,12.791,29.8082,35,3.79510018331024,4.20166670551203,3.88787974581523
"8","Broadway St at Battery St",1832609.99999794,645812.999898556,37.7985369886765,-122.400864416785,11.4227600936,42.9854,160.1178,8.117,0.7671,3.9668,26.2317,35,2.43560786448277,4.05691500303128,3.8178074980989
"9","California Ave Caltrain Station",1854611.99999823,604385.999898895,37.4290794172164,-122.142809991269,7.4892654955,8.8686,98.8307,2.591,0.3002,0.4087,2.2942,11,2.01347072803422,2.13488461337021,2.41287185352362
"10","Castro Street and El Camino Real",1859763.99999829,599510.999898936,37.3859590905797,-122.083674276191,5.4988399072,5.5812,62.1026,3.2064,0.3023,0.4728,1.5273,9,1.70453714402678,1.94968310845264,2.41153686020552
"11","Civic Center BART",1831506.99999793,643816.999898573,37.7803537651804,-122.412923251514,40.1243470413,48.5498,194.3868,15.8854,2.8155,2.2174,33.954,35,3.69198330820375,4.37039533823945,3.96275450185664
"12","Clay at Battery",1832680.99999794,645418.999898557,37.7950006751533,-122.399967545932,33.7837418978,44.3916,179.9257,11.5294,0.6693,11.5465,29.1797,35,3.51997967782623,4.13613577209348,3.84007504889864
"13","Commercial Street at Montgomery",1832418.99999794,645338.99989856,37.7942320435954,-122.402923361904,37.7548248293,45.7774,172.0622,13.2465,1.3748,10.5366,30.3107,35,3.63111327757571,4.21420727100289,3.98910400499513
"14","Cowper at University Ave",1853172.99999821,606577.999898879,37.4485989511997,-122.159505727281,30.4165261229,6.2978,55.8119,2.3119,0.4441,1.0526,2.7332,13,3.41498608316683,1.99005403940839,2.55560464300922
"15","Embarcadero at Bryant",1833715.99999796,644526.999898565,37.7871538970806,-122.388013629455,54.6762327587,43.782,167.8391,4.3512,0.7324,1.7035,26.5047,35,4.00142911333563,4.10179287576272,3.71753950973085
"16","Embarcadero at Folsom",1833462.99999795,645021.999898561,37.7915670414769,-122.390998998,69.9698248749,43.9195,182.3816,5.9915,0.367,4.449,27.8743,35,4.24806407589488,4.10953918193969,3.81452000865298
"17","Embarcadero at Sansome",1832414.99999794,646508.999898551,37.8047711090843,-122.403238923024,93.1924553071,41.0749,146.4807,5.2542,0.2374,0.9103,21.0182,35,4.53466676677423,3.94928359975057,3.67799849648157
"18","Embarcadero at Vallejo",1832826.99999794,645965.999898554,37.7999549567189,-122.398436103048,43.458743949,42.3294,160.1322,6.1832,0.2711,2.1865,24.9529,35,3.77181207309908,4.01995808047061,3.79665756874246
"19","Evelyn Park and Ride",1861318.99999831,599983.999898932,37.3904563338054,-122.066206464637,45.3688020202,6.3325,57.9986,2.7474,0.069,0.1367,1.2599,7,3.81482468865898,1.99200892540359,2.04750340223032
"20","Ferry Building",1833188.99999795,645451.99989856,37.7953907315103,-122.394208184226,110.3239039866,43.9039,192.6213,8.001,0.219,4.9701,27.9799,35,4.70342062069974,4.10866032829343,3.78479075027046
"21","Franklin at Maple",1847254.99999814,610302.99989885,37.4811932866338,-122.227155693528,18.0503769612,4.7645,84.8011,4.3018,0.7652,0.3203,2.7076,9,2.89316656883782,1.90367286660005,2.46792976299172
"22","Golden Gate Avenue at Polk",1831022.99999792,643938.999898574,37.7813635248888,-122.418445019772,24.6338417219,49.1454,171.5767,16.3958,2.5226,1.7301,27.4446,35,3.20412117730989,4.40394951975947,3.90635046144914
"23","Grant Avenue at Columbus Avenue",1832055.99999794,645820.999898556,37.7985075059401,-122.407155698748,50.2194305927,43.9518,148.1853,10.6277,2.1433,2.839,28.0671,35,3.91640201540749,4.11135885968162,3.95636909046387
"24","Kaiser Permanente",1847594.99999814,611015.999898842,37.487673248047,-122.223460488948,6.3012225028,4.83,82.0521,3.0575,0.3476,1.0882,2.8333,9,1.84074366263609,1.9073629251789,2.39873699921943
"25","Market at 4th",1832220.99999794,644462.999898568,37.7863044027294,-122.404968627853,64.9222830992,47.2304,192.8196,14.3177,0.6807,8.7189,37.5957,35,4.17319090991464,4.29606460100387,3.84556589703999
"26","Market at Battery",1832746.99999794,645020.999898563,37.7914274047811,-122.399126597432,35.75287393,45.8099,200.7047,12.1306,0.3619,14.9269,30.1876,35,3.57663065555929,4.21603821609926,3.83612733924686
"27","Market at Polk",1831105.99999792,643410.999898576,37.7766224259867,-122.417380160906,43.6556571522,49.5476,178.1588,16.4297,1.0703,6.4397,24.219,35,3.77633287645837,4.42660816953675,3.88639324732612
"28","Market Street at Sansome",1832594.99999794,644823.999898564,37.7896249479489,-122.400806627233,71.7814263444,46.2478,207.0478,12.7834,0.2564,14.3363,31.4,35,4.27362575657804,4.24070808864395,3.8675441424202
"29","Mountain View Caltrain",1860390.9999983,600436.999898928,37.3943971926684,-122.07677112917,31.0794672404,6.1546,109.928,3.1855,0.1367,0.5198,1.4937,9,3.43654738379526,1.9819866136299,2.26771868153115
"30","Mountain View City Hall",1859935.99999829,599876.999898932,37.3892827419083,-122.081802117717,13.547628381,5.7794,79.6454,3.3891,0.2486,0.6038,1.5616,9,2.60621150477418,1.96084905670191,2.36078661579084
"31","Palo Alto Caltrain",1852698.99999821,606074.999898881,37.4439914539777,-122.164760842375,26.5767186603,6.6594,118.9243,2.259,0.1559,1.1085,3.0912,14,3.28003559420836,2.01042541623451,2.46943832701915
"32","Palo Alto University and Emerson",1852834.9999982,606135.999898881,37.4445628051918,-122.163236377704,21.5226131111,6.6657,110.4444,2.208,0.2046,1.2641,3.0444,14,3.06910415501764,2.01078033789934,2.4864548103045
"33","Park Blvd at Olive Ave",1855050.99999823,604000.999898899,37.4256801719352,-122.137774406086,4.3320904707,9.6882,73.724,2.1141,0.1486,0.3777,1.8616,11,1.46605021320045,2.18105823186216,2.3176961983173
"34","Post at Kearney",1832360.99999794,644756.999898566,37.788978535088,-122.403447386187,34.2235147184,46.705,197.7828,14.1295,0.6157,12.082,33.629,35,3.53291297266963,4.26646526089202,3.85271214540545
"35","Powell Street BART",1831909.99999793,644198.999898568,37.783869099508,-122.408437637253,50.5607468116,47.8798,197.3861,15.2791,2.2082,3.7753,37.8035,35,3.92317552052857,4.33264970086804,3.97600132084365
"36","Redwood City Caltrain",1846945.99999813,610735.999898844,37.4850427867807,-122.230739435663,8.1850254802,4.8248,134.4159,3.5866,0.3922,0.8894,2.581,9,2.10230632385429,1.90706997396348,2.56120141131696
"37","Redwood City Public Lilbrary",1847214.99999814,610617.999898847,37.4840244983961,-122.22767363633,57.0457549707,4.7326,102.6299,3.9849,0.4581,0.8366,2.7114,9,4.04385366461235,1.901875723567,2.51192418445201
"38","Rengstorff Park",1858438.99999827,601154.999898922,37.4005675171899,-122.09895167273,9.359940926,5.7993,53.759,3.8581,0.6234,0.0271,1.5112,10,2.2364389791448,1.96197015846861,2.08082515288244
"39","San Antonio Caltrain Station",1857759.99999827,601873.999898918,37.4069404635272,-122.106758990214,5.3429115805,6.5642,85.8028,3.378,0.3671,0.1991,1.1509,12,1.6757707441769,2.00506215552144,2.12046915283861
"40","San Antonio Shopping Center",1857607.99999827,601154.999898923,37.400439213581,-122.108336093509,4.3309321109,6.803,57.4808,2.9805,0.3671,0.2883,0.949,12,1.46578278695378,2.01851537672187,1.77438070173568
"41","San Francisco Caltrain",1833025.99999795,643337.999898575,37.7763172108945,-122.395572447267,135.8110362557,45.8136,168.781,6.8896,0.7543,1.5149,21.7448,35,4.91126448027389,4.21624666215639,3.74017264171118
"42","San Francisco City Hall",1831034.99999792,643637.999898575,37.7786542197249,-122.418238782089,16.9936094372,49.2249,173.6647,16.2971,1.4578,3.0611,23.6461,35,2.83283735792346,4.40842829314906,4.0131925841895
"43","San Jose Adobe on Almaden",1876538.9999985,593189.999898986,37.3314135603044,-121.893202818438,6.8000692843,9.7333,129.1797,4.6208,0.0605,0.9731,5.397,15,1.9169328009978,2.18359902028821,2.4670709994012
"44","San Jose City Hall",1877087.9999985,593840.999898979,37.3373523698106,-121.887117383415,54.9584750166,10.0549,125.3906,4.8285,0.5366,1.5446,5.092,15,4.00657790037848,2.20171692622648,2.47811177807625
"45","San Jose Convention Center",1876911.9999985,593104.999898986,37.3306976915473,-121.888980062225,7.3711175736,9.4663,122.9984,4.7896,0.2283,1.2163,3.5021,15,1.99756933291429,2.16855710211184,2.4577393344051
"46","San Jose Diridon Caltrain",1875793.99999849,593118.999898986,37.3306736370724,-121.901596562347,59.7959760422,9.3587,144.4048,2.8201,0.1493,0.3012,3.7829,15,4.09093836842828,2.16249526542353,2.31156058386312
"47","San Jose Government Center",1875463.99999849,595557.999898967,37.3526036954494,-121.905733258242,30.8032596042,13.0491,103.2931,2.1337,0.1948,0.7563,3.9861,15,3.42762051568499,2.37040048953615,2.4479759916429
"48","San Jose Green/SAP Center",1875930.99999849,593340.999898986,37.3326922697102,-121.900088299014,17.2364690545,9.8383,135.5578,3.3688,0.1055,0.4279,3.8611,15,2.84702743303497,2.1895143813688,2.35944955519866
"49","San Jose Japantown",1876428.9999985,595112.999898969,37.3487244763739,-121.894767326355,14.6569060925,11.8544,90.7533,3.4209,0.5258,1.6853,5.3509,15,2.68491163001775,2.30309494779343,2.38898130445342
"50","San Jose MLK Library",1877205.99999851,593649.999898982,37.3356472635221,-121.885753979527,85.2699807645,9.6932,132.9523,4.8615,0.4943,1.5692,5.0234,15,4.44582246717049,2.18133991572314,2.47742016295222
"51","San Jose Paseo de San Antonio",1877097.9999985,593445.999898981,37.333794863665,-121.886938485994,16.8492064216,9.6639,129.021,4.8199,0.3824,1.7676,5.061,15,2.82430355904834,2.17968924829779,2.49173665905907
"52","San Jose San Pedro Square",1876470.9999985,593779.999898982,37.336720168926,-121.894069225344,31.1713600686,9.8567,131.2376,4.2263,0.2187,1.159,6.0197,15,3.43949972672529,2.19055097797721,2.43113709526488
"53","San Jose San Salvador at 1st",1877189.99999851,593028.999898986,37.3300500874344,-121.885830746067,9.1827190431,9.5852,130.4053,4.8114,0.54,0.7251,3.4128,15,2.21732335283501,2.17525554432596,2.58797469943222
"54","San Jose Santa Clara at Almaden",1876419.9999985,593497.999898983,37.3341725826889,-121.894597272085,10.6530042938,9.9192,139.6394,4.4422,0.0642,1.4145,5.3987,15,2.36584194568915,2.19407202623947,2.4499520063796
"55","San Jose SJSU 4th at San Carlos",1877359.99999851,593369.999898984,37.3331450729318,-121.883969587711,77.8004065893,9.7291,120.8038,4.8761,0.8962,1.1801,3.4242,15,4.35414665725424,2.18336240584498,2.49440349055594
"56","San Jose SJSU San Salvador at 9th",1877947.99999852,593450.999898983,37.3339530244111,-121.877348529491,51.3024532103,9.4524,94.2664,4.6388,1.0374,0.6061,2.9922,15,3.93773857189689,2.16777402097831,2.51374307131262
"57","San Jose St James Park",1876840.9999985,594060.999898977,37.3393014878259,-121.889941352632,18.9167950553,10.0965,122.7628,4.483,0.6545,0.8256,5.8037,15,2.94005015473469,2.20406053594984,2.45565082296475
"58","San Mateo County Center",1846907.99999813,611121.99989884,37.4885139599019,-122.231249780831,8.2637907615,4.7792,122.7035,3.0469,0.2638,0.9559,2.6151,7,2.11188341222042,1.90450101715134,2.36892195643418
"59","Second at Folsom",1832987.99999795,644335.999898564,37.785300677516,-122.396233258681,44.3907997776,45.78,181.9432,10.1618,0.712,6.1312,30.2471,35,3.79303223575055,4.2143537466106,3.84229085991242
"60","South Van Ness Avenue at Market",1830962.99999792,643212.999898576,37.7748123586892,-122.418957038189,45.2703454186,51.3595,169.9049,15.9984,0.7944,5.71,19.6316,35,3.81265219160652,4.52868476707893,3.89005369624317
"61","Spear at Folsom",1833522.99999795,644804.999898563,37.7896231366344,-122.390268131613,43.9378994102,43.9571,179.143,5.9455,0.6065,4.1937,27.7689,35,3.78277725994664,4.11165744457426,3.83255183528612
"62","Steuart Street at Market",1833165.99999795,645313.999898558,37.7941433778424,-122.394437570117,59.5202975577,44.2241,198.2942,9.4871,0.2474,7.2125,28.3768,35,4.08631738980165,4.12669936275063,3.80417785792162
"63","Sydney Walton Square",1832820.99999794,645668.999898558,37.7972783697116,-122.398435811613,36.901534282,43.6303,180.4615,8.6247,0.4024,6.6605,27.3657,35,3.60825312964007,4.09324658742057,3.79850543529028
"64","Townsend at 7th",1832384.99999794,642766.999898579,37.7710562031801,-122.402715623064,78.213924316,47.1005,152.6995,9.5537,0.3296,0.829,15.7752,35,4.35944769200732,4.28874645429559,3.76775975546026
"65","Transbay Terminal",1833130.99999795,644839.999898563,37.7898670106621,-122.394725937539,57.6627496741,44.5943,188.3453,9.4043,0.6317,9.4455,29.0944,35,4.05461137879609,4.14755523581764,3.7863099102009
"66","Union Square",1831914.99999793,644706.999898566,37.7884462782978,-122.408498489409,45.3097280592,47.3353,177.2453,15.5842,1.6781,5.2466,34.0581,35,3.81352175687777,4.30197432840724,3.99944748707223
"67","Washington at Kearney",1832258.99999794,645474.999898558,37.7954278574449,-122.404771127312,24.9095202064,45.5667,157.5555,12.9873,1.9276,7.8606,29.8702,35,3.21525006800469,4.20233711310116,3.98758160529025
"68","Yerba Buena Center of the Arts (3rd at Howard",1832565.99999794,644297.999898568,37.7848812228827,-122.401014514507,34.2432060387,46.4949,172.5765,11.815,0.7089,6.7765,35.3532,35,3.53348818119795,4.25462890505361,3.84528614334795
